ubigeo,departamento,distrito,promedio_semanal,mediana_semanal,maximo_semanal,desviacion_semanal,pct_semanas_alta,crecimiento_promedio,frecuencia_semanas_con_casos,semana_pico,cluster,pca_1,pca_2
150134,LIMA,SAN LUIS,0.9495412844036697,0.0,21,3.4177390416110596,0.14678899082568808,0.051983520680999665,0.15137614678899083,13.0,1,-0.6730595083997976,0.016586428752203453
150135,LIMA,SAN MARTIN DE PORRES,5.724509803921569,0.0,515,39.73509817177367,0.10392156862745099,0.03064291197149437,0.10490196078431373,16.0,0,2.0771292718677645,-2.141876207344137
150136,LIMA,SAN MIGUEL,2.0182648401826486,0.0,50,7.231314115604126,0.1735159817351598,0.05971186578589954,0.1780821917808219,16.0,1,-0.30208944846627583,-0.0771070532683374
150137,LIMA,SANTA ANITA,0.6125498007968128,0.0,66,4.961232363661773,0.04083665338645418,0.012659829858626766,0.04183266932270916,18.0,1,-0.7991290033122579,-0.43735493875035814
150139,LIMA,SANTA ROSA,4.951612903225806,1.0,40,7.901464583217057,0.0,0.14254160724954762,0.6129032258064516,15.0,0,1.4669422067575264,2.016412519055798
150140,LIMA,SANTIAGO DE SURCO,0.7330049261083744,0.0,90,5.287278564227469,0.06502463054187192,0.022871613124339253,0.06600985221674877,14.0,1,-0.665630867496426,-0.4261937312402533
150141,LIMA,SURQUILLO,2.0681818181818183,0.0,22,4.209824695511934,0.0,0.14747686582394232,0.4090909090909091,14.0,1,0.050248763555507406,0.743944488940106
150142,LIMA,VILLA EL SALVADOR,1.404344193817878,0.0,180,11.873684156449135,0.050960735171261484,0.015514741474365141,0.05179615705931495,16.0,1,-0.20138798049930098,-0.8324623056800495
150143,LIMA,VILLA MARIA DEL TRIUNFO,6.358,0.0,717,51.30036877060437,0.083,0.04554840442684192,0.084,14.0,0,2.9402257326067645,-2.9270547098397772
150201,LIMA,BARRANCA,11.378787878787879,0.0,124,26.08654892649464,0.0,0.07232902636016028,0.3939393939393939,16.0,0,2.03093274255876,-0.21257411421885272
150202,LIMA,PARAMONGA,18.15,1.0,101,32.354713721496594,0.0,0.18893558828936008,0.5833333333333334,12.0,0,3.8560287697405666,0.9746958275009054
150203,LIMA,PATIVILCA,10.0,2.0,40,13.382485161243748,0.0,0.2740453178575661,0.6060606060606061,11.0,0,2.689110876712541,2.6187638628026493
150204,LIMA,SUPE,14.159420289855072,5.0,86,21.629705277432095,0.0,0.2640049578077702,0.7971014492753623,12.0,2,5.3840846331669,5.345967034947534
150205,LIMA,SUPE PUERTO,12.333333333333334,7.0,60,13.58220123824524,0.0,0.19521538839261499,0.9047619047619048,14.0,2,6.042290395860948,7.636272798895058
150501,LIMA,SAN VICENTE DE CA�ETE,5.625,0.0,54,12.408128292666575,0.0,0.1294696765723045,0.4431818181818182,12.0,0,0.8730811543117462,0.5160170954879499
150502,LIMA,ASIA,0.90625,0.0,11,1.834723667885712,0.0,0.18027210884353742,0.375,20.0,1,-0.26068078242813747,0.7437132046215151
150504,LIMA,CERRO AZUL,0.24528301886792453,0.0,2,0.4720753208753511,0.0,0.05128205128205129,0.22641509433962265,13.0,1,-0.7276503213896642,0.3647474796191338
150505,LIMA,CHILCA,8.189024390243903,0.0,110,23.17972466690559,0.3231707317073171,0.08529565109432141,0.3231707317073171,13.0,0,1.3784147327020997,-0.26839606880908806
150507,LIMA,IMPERIAL,8.833333333333334,0.0,141,27.758715681679085,0.2777777777777778,0.11400919355782467,0.2839506172839506,16.0,0,1.5837443439989483,-0.5744068798146013
150508,LIMA,LUNAHUANA,0.4,0.0,6,0.9480630408426248,0.0,0.05470521541950113,0.21176470588235294,13.0,1,-0.7173982312823931,0.29830538468847734
150509,LIMA,MALA,11.491666666666667,0.0,122,24.063110021127546,0.43333333333333335,0.14648715781188382,0.44166666666666665,16.0,0,2.0807984502304238,-0.01827370968011033
